Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Eric Bailly,ci CIV,DF,Oviedo,31-312,1994,6,6,503,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Cédric Bakambu,cd COD,FW,Real Betis,34-313,1991,10,3,312,3.5,2,0,2,2,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches
Alejandro Balde,es ESP,DF,Barcelona,22-123,2003,20,17,1423,15.8,0,2,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
Iván Balliu,al ALB,DF,Rayo Vallecano,34-048,1992,9,2,255,2.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Roony Bardghji,se SWE,MF,Barcelona,20-095,2005,13,3,306,3.4,1,1,2,1,0,0,0,0,0.29,0.29,0.59,0.29,0.59,Matches
Kike Barja,es ESP,MF,Osasuna,28-323,1997,15,1,204,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,24-053,2001,19,13,1097,12.2,3,3,6,3,0,0,2,0,0.25,0.25,0.49,0.25,0.49,Matches
Pablo Barrios,es ESP,MF,Atlético Madrid,22-248,2003,21,19,1575,17.5,1,1,2,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,Matches
Marc Bartra,es ESP,DF,Real Betis,35-034,1991,20,16,1587,17.6,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-294,1996,23,23,2070,23.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Samu Becerra,es ESP,MF,Rayo Vallecano,20-048,2006,3,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sheraldo Becker,sr SUR,"FW,MF",Osasuna,31-009,1995,9,0,158,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Donny van de Beek,nl NED,MF,Girona,28-306,1997,2,1,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ismael Bekhoucha,ma MAR,DF,Getafe,21-090,2004,4,1,122,1.4,0,1,1,0,0,0,2,0,0.00,0.74,0.74,0.00,0.74,Matches
Héctor Bellerín,es ESP,DF,Real Betis,30-336,1995,16,12,1081,12.0,0,2,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches
Jude Bellingham,eng ENG,MF,Real Madrid,22-234,2003,18,15,1291,14.3,4,3,7,4,0,0,1,0,0.28,0.21,0.49,0.28,0.49,Matches
Fran Beltrán,es ESP,MF,Girona,27-015,1999,4,3,246,2.7,1,0,1,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches
Fran Beltrán,es ESP,MF,Celta Vigo,27-015,1999,10,7,528,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Beltrán,ar ARG,FW,Valencia,24-326,2001,21,13,1098,12.2,1,2,3,1,0,0,0,0,0.08,0.16,0.25,0.08,0.25,Matches
Carlos Benavídez,uy URU,DF,Alavés,27-325,1998,7,2,212,2.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
Iker Benito,es ESP,MF,Osasuna,23-192,2002,5,1,150,1.7,1,0,1,1,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,36-008,1990,21,20,1753,19.5,0,2,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
Álex Berenguer,es ESP,MF,Athletic Club,30-229,1995,20,18,1447,16.1,2,2,4,2,0,0,3,0,0.12,0.12,0.25,0.12,0.25,Matches
Lucas Bergström,fi FIN,GK,Mallorca,23-166,2002,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Marc Bernal,es ESP,MF,Barcelona,18-268,2007,11,1,207,2.3,1,1,2,1,0,0,1,0,0.43,0.43,0.87,0.43,0.87,Matches
Pedro Bigas,es ESP,DF,Elche,35-156,1990,17,16,1325,14.7,0,2,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches
Antonio Blanco,es ESP,MF,Alavés,25-210,2000,22,22,1870,20.8,1,1,2,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,Matches
Daley Blind,nl NED,DF,Girona,35-346,1990,22,21,1852,20.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Adam Boayar,ma MAR,MF,Elche,20-128,2005,6,0,103,1.1,1,0,1,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87,Matches
Adama Boiro,es ESP,DF,Athletic Club,23-241,2002,8,5,505,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rahim Bonkano,ne NIG,DF,Oviedo,24-048,2002,19,15,1414,15.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Thiago Borbas,uy URU,FW,Oviedo,23-317,2002,3,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Sebastián Boselli,uy URU,DF,Getafe,22-076,2003,3,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Boyé,ar ARG,FW,Alavés,29-355,1996,18,14,1352,15.0,5,1,6,4,1,1,2,1,0.33,0.07,0.40,0.27,0.33,Matches
Enzo Boyomo,cm CMR,DF,Osasuna,24-134,2001,20,19,1642,18.2,1,1,2,1,0,0,4,0,0.05,0.05,0.11,0.05,0.11,Matches
Josip Brekalo,hr CRO,"MF,FW",Oviedo,27-240,1998,14,6,486,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Abel Bretones,es ESP,"MF,DF",Osasuna,25-181,2000,20,15,1384,15.4,1,0,1,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches
Brugui,es ESP,"MF,FW",Levante,29-106,1996,15,10,896,10.0,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Tajon Buchanan,ca CAN,MF,Villarreal,27-010,1999,22,15,1339,14.9,5,1,6,5,0,0,7,0,0.34,0.07,0.40,0.34,0.40,Matches
Ante Budimir,hr CRO,FW,Osasuna,34-211,1991,23,21,1776,19.7,11,0,11,8,3,4,1,0,0.56,0.00,0.56,0.41,0.41,Matches
Manu Bueno,es ESP,MF,Sevilla,21-206,2004,4,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jorge Cabello,es ESP,DF,Levante,21-299,2004,5,4,362,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Leandro Cabrera,uy URU,DF,Espanyol,34-246,1991,23,23,2070,23.0,3,0,3,3,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
Calebe,br BRA,MF,Alavés,25-294,2000,16,13,702,7.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Fernando Calero,es ESP,DF,Espanyol,30-157,1995,19,17,1492,16.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,29-154,1996,15,13,1145,12.7,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Dani Calvo,es ESP,DF,Oviedo,31-323,1994,9,7,705,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Dawda Camara,mr MTN,FW,Girona,23-106,2002,2,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,23-100,2002,18,10,989,11.0,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches
Sergio Camello,es ESP,FW,Rayo Vallecano,25-008,2001,13,4,458,5.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
João Cancelo,pt POR,DF,Barcelona,31-267,1994,3,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sergi Cardona,es ESP,DF,Villarreal,26-225,1999,18,11,1137,12.6,0,3,3,0,0,0,3,0,0.00,0.24,0.24,0.00,0.24,Matches
Fábio Cardoso,pt POR,DF,Sevilla,31-305,1994,4,4,295,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Johnny Cardoso,us USA,MF,Atlético Madrid,24-151,2001,9,8,528,5.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
David Carmo,ao ANG,DF,Oviedo,26-214,1999,17,15,1362,15.1,1,0,1,1,0,0,8,1,0.07,0.00,0.07,0.07,0.07,Matches
Carmona,es ESP,"DF,MF",Sevilla,24-020,2002,22,20,1799,20.0,1,3,4,1,0,0,9,0,0.05,0.15,0.20,0.05,0.20,Matches
Sergio Carreira,es ESP,MF,Celta Vigo,25-128,2000,21,18,1644,18.3,2,1,3,2,0,0,2,0,0.11,0.05,0.16,0.11,0.16,Matches
Gorka Carrera,es ESP,FW,Real Sociedad,20-279,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Álvaro Carreras,es ESP,DF,Real Madrid,22-332,2003,21,20,1788,19.9,2,2,4,2,0,0,4,1,0.10,0.10,0.20,0.10,0.20,Matches
Dani Carvajal,es ESP,DF,Real Madrid,34-038,1992,8,4,407,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marc Casado,es ESP,MF,Barcelona,22-157,2003,16,8,735,8.2,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches
Castrin,es ESP,DF,Sevilla,23-048,2003,9,7,648,7.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonny Castro,es ESP,DF,Alavés,31-352,1994,23,23,2004,22.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Catena,es ESP,DF,Osasuna,31-113,1994,22,22,1934,21.5,2,2,4,2,0,0,8,1,0.09,0.09,0.19,0.09,0.19,Matches
Santi Cazorla,es ESP,MF,Oviedo,41-067,1984,14,4,494,5.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Dani Ceballos,es ESP,MF,Real Madrid,29-195,1996,14,4,460,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Cepeda,cl CHI,MF,Elche,23-110,2002,3,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jorge Cestero,es ESP,MF,Real Madrid,19-331,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ilyas Chaira,ma MAR,"MF,FW",Oviedo,25-016,2001,21,18,1396,15.5,3,1,4,3,0,0,1,1,0.19,0.06,0.26,0.19,0.26,Matches
Pep Chavarría,es ESP,DF,Rayo Vallecano,27-314,1998,22,21,1911,21.2,1,2,3,1,0,0,6,1,0.05,0.09,0.14,0.05,0.14,Matches
Andreas Christensen,dk DEN,DF,Barcelona,29-314,1996,12,3,380,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Víctor Chust,es ESP,DF,Elche,25-350,2000,18,15,1387,15.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,31-339,1994,16,12,1131,12.6,1,0,1,1,0,0,4,2,0.08,0.00,0.08,0.08,0.08,Matches
Santiago Colombatto,ar ARG,MF,Oviedo,29-032,1997,19,17,1467,16.3,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches
Eray Cömert,ch SUI,DF,Valencia,28-014,1998,7,5,474,5.3,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches
Santi Comesaña,es ESP,MF,Villarreal,29-136,1996,21,16,1386,15.4,2,2,4,2,0,0,3,1,0.13,0.13,0.26,0.13,0.26,Matches
Copete,es ESP,DF,Valencia,26-131,1999,20,18,1669,18.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Iván Corralejo,es ESP,MF,Real Betis,18-293,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Thierry Correia,pt POR,"DF,MF",Valencia,26-346,1999,15,12,953,10.6,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
Paco Cortés,es ESP,MF,Levante,18-191,2007,5,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Coba da Costa,es ESP,MF,Getafe,23-207,2002,14,2,348,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Samu Costa,pt POR,MF,Mallorca,25-083,2000,21,18,1603,17.8,4,0,4,4,0,0,8,0,0.22,0.00,0.22,0.22,0.22,Matches
David Costas,es ESP,DF,Oviedo,30-329,1995,17,16,1430,15.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,33-283,1992,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Juan Cruz Armada,es ESP,DF,Osasuna,33-205,1992,12,7,580,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pau Cubarsí,es ESP,DF,Barcelona,19-027,2007,20,20,1742,19.4,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,Matches
Cucho,co COL,FW,Real Betis,26-304,1999,19,19,1645,18.3,8,3,11,7,1,1,2,0,0.44,0.16,0.60,0.38,0.55,Matches
Pablo Cuñat,es ESP,GK,Levante,23-296,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Arnaut Danjuma,nl NED,"MF,FW",Valencia,29-018,1997,22,17,1424,15.8,3,2,5,3,0,1,0,0,0.19,0.13,0.32,0.19,0.32,Matches
Sergi Darder,es ESP,MF,Mallorca,32-058,1993,24,19,1657,18.4,1,3,4,1,0,0,3,0,0.05,0.16,0.22,0.05,0.22,Matches
Davinchi,es ESP,DF,Getafe,18-125,2007,7,4,429,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Leander Dendoncker,be BEL,MF,Oviedo,30-309,1995,18,15,1315,14.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
Nelson Deossa,co COL,MF,Real Betis,26-012,2000,14,6,526,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Bambo Diaby,sn SEN,DF,Elche,28-063,1997,4,1,102,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mouctar Diakhaby,gn GUI,DF,Valencia,29-061,1996,8,7,543,6.0,1,0,1,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches
Grady Diangana,cd COD,"MF,FW",Elche,27-305,1998,13,9,607,6.7,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
Moussa Diarra,ml MLI,DF,Alavés,25-100,2000,3,3,216,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Brahim Díaz,ma MAR,"MF,FW",Real Madrid,26-199,1999,16,3,444,4.9,0,4,4,0,0,0,1,0,0.00,0.81,0.81,0.00,0.81,Matches
Daniel Díaz,es ESP,FW,Real Sociedad,19-241,2006,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,27-258,1998,20,13,1146,12.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Stole Dimitrievski,mk MKD,GK,Valencia,32-055,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Matías Dituro,ar ARG,GK,Elche,38-286,1987,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Djené,tg TOG,"DF,MF",Getafe,34-049,1991,23,21,1753,19.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Marko Dmitrović,rs SRB,GK,Espanyol,34-025,1992,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tyrhys Dolan,eng ENG,MF,Espanyol,24-052,2001,23,17,1508,16.8,1,3,4,1,0,0,4,1,0.06,0.18,0.24,0.06,0.24,Matches
Marc Domenech,es ESP,MF,Mallorca,20-048,2006,7,2,214,2.4,0,1,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches
Carlos Dominguez,es ESP,DF,Celta Vigo,25-007,2001,6,4,436,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
John Donald,es ESP,"DF,MF",Elche,25-172,2000,14,5,458,5.1,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches
Domingos Duarte,pt POR,DF,Getafe,30-345,1995,21,21,1803,20.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
Pablo Durán,es ESP,"FW,MF",Celta Vigo,24-269,2001,19,10,921,10.2,2,2,4,2,0,0,0,0,0.20,0.20,0.39,0.20,0.39,Matches
Hugo Duro,es ESP,FW,Valencia,26-100,1999,23,16,1423,15.8,7,0,7,7,0,0,4,0,0.44,0.00,0.44,0.44,0.44,Matches
Claudio Echeverri,ar ARG,MF,Girona,20-047,2006,4,0,113,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ovie Ejaria,eng ENG,MF,Oviedo,28-092,1997,7,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Chidera Ejuke,ng NGA,"MF,FW",Sevilla,28-047,1998,17,4,525,5.8,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
Unai Elgezabal,es ESP,"DF,MF",Levante,32-299,1993,12,11,958,10.6,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
Aritz Elustondo,es ESP,DF,Real Sociedad,31-327,1994,8,4,337,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Endrick,br BRA,FW,Real Madrid,19-212,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aarón Escandell,es ESP,GK,Oviedo,30-144,1995,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Espí,es ESP,FW,Levante,20-209,2005,11,0,222,2.5,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
Alfonso Espino,uy URU,"DF,MF",Rayo Vallecano,34-044,1992,17,6,648,7.2,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
Marco Esteban,es ESP,DF,Oviedo,20-048,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Karl Etta Eyong,cm CMR,FW,Villarreal,22-127,2003,3,3,256,2.8,1,2,3,1,0,0,0,0,0.35,0.70,1.05,0.35,1.05,Matches
Karl Etta Eyong,cm CMR,FW,Levante,22-127,2003,18,15,1244,13.8,5,1,6,5,0,1,2,0,0.36,0.07,0.43,0.36,0.43,Matches
