id,home_team_id,away_team_id,poss_home,poss_away,shots_ot_home,shots_total_home,shots_ot_away,shots_total_away,saves_home,saves_away,cards_home,cards_away
102381573900005.0,TEAM-0587F59E,,48,52,7,21,50,2,2,100,0,0
14363514735660.0,TEAM-A415D192,TEAM-93330B41,46,55,2,13,24,5,5,100,0,0
171498132861949.0,TEAM-0E077100,TEAM-7273A887,39,61,4,6,21,3,2,50,0,0
71824464063421.0,TEAM-BDDFCDFA,TEAM-7C631724,43,57,4,17,22,2,1,75,0,0
112411683314944.0,TEAM-720795A0,TEAM-550D05AB,39,62,3,5,43,9,5,33,0,0
6362656669454.0,TEAM-BDDFCDFA,TEAM-1C981597,60,41,3,14,0,0,0,66,0,0
184983825241068.0,,TEAM-720795A0,52,49,2,5,57,4,3,100,0,0
149440693544582.0,TEAM-550D05AB,TEAM-0587F59E,68,32,7,19,15,2,2,42,0,0
42506875124295.0,TEAM-839B22B8,TEAM-782246EA,46,54,4,14,47,9,6,100,0,0
141493924351016.0,TEAM-27AC674B,TEAM-0E077100,58,42,7,14,33,3,2,71,0,0
240600018970803.0,,TEAM-A415D192,39,61,3,8,27,3,2,66,0,0
243786207784554.0,TEAM-7C631724,TEAM-51EA86E0,54,46,7,23,36,4,3,85,0,0
19529544917174.0,TEAM-7273A887,,41,59,1,9,46,6,6,100,0,0
167073112899369.0,TEAM-A4EC0F45,TEAM-93330B41,49,52,6,15,35,7,5,66,0,0
24440480462873.0,TEAM-D069E7F8,TEAM-B2118D2C,33,67,5,8,27,6,5,60,0,0
246618020730085.0,TEAM-7273A887,TEAM-A4EC0F45,34,67,6,15,44,4,4,66,0,0
188728039961764.0,TEAM-0E077100,TEAM-839B22B8,53,48,4,7,14,2,0,50,0,0
36398422825622.0,TEAM-550D05AB,,69,31,6,18,33,3,1,50,0,0
137057036007683.0,TEAM-1C981597,TEAM-0587F59E,56,44,4,11,29,4,1,100,0,0
207872139391536.0,,,52,48,8,14,8,1,1,75,0,0
189167058479105.0,TEAM-782246EA,TEAM-27AC674B,60,40,7,18,50,5,1,71,0,0
251107807545272.0,TEAM-B2118D2C,TEAM-7C631724,65,35,3,9,44,4,2,66,0,0
125140908145739.0,TEAM-720795A0,TEAM-D069E7F8,60,40,4,11,22,2,1,100,0,0
13210013621380.0,TEAM-51EA86E0,TEAM-93330B41,40,60,4,10,16,4,4,75,0,0
